Cidade,Transportadora,Prazo,Capital/Interior
LAGOAO,TECMAR,RS,9,INTERIOR
MARIANA PIMENTEL,TECMAR,RS,9,INTERIOR
MATO LEITAO,TECMAR,RS,9,INTERIOR
MONTE ALVERNE,TECMAR,RS,9,INTERIOR
PAVERAMA,TECMAR,RS,9,INTERIOR
POCO DAS ANTAS,TECMAR,RS,9,INTERIOR
PROGRESSO,TECMAR,RS,9,INTERIOR
PUTINGA,TECMAR,RS,9,INTERIOR
SALTO DO JACUI,TECMAR,RS,9,INTERIOR
SANTA CLARA DO SUL,TECMAR,RS,9,INTERIOR
SANTA MARIA DO HERVAL,TECMAR,RS,9,INTERIOR
SANTANA DA BOA VISTA,TECMAR,RS,9,INTERIOR
SAO JOSE DO HORTENCIO,TECMAR,RS,9,INTERIOR
SAO VENDELINO,TECMAR,RS,9,INTERIOR
TAVARES,TECMAR,RS,9,INTERIOR
VALE DO SOL,TECMAR,RS,9,INTERIOR
VILA FLORES,TECMAR,RS,9,INTERIOR
DEZESSEIS DE NOVEMBRO,TECMAR,RS,9,INTERIOR
SALVADOR DAS MISSOES,TECMAR,RS,9,INTERIOR
SAO PEDRO DO BUTIA,TECMAR,RS,9,INTERIOR
VILA NOVA DO SUL,TECMAR,RS,9,INTERIOR
ALEGRIA,TECMAR,RS,9,INTERIOR
BARRA DA GUARITA,TECMAR,RS,9,INTERIOR
BOM PROGRESSO,TECMAR,RS,9,INTERIOR
DERRUBADAS,TECMAR,RS,9,INTERIOR
DOIS IRMAOS DAS MISSOES,TECMAR,RS,9,INTERIOR
DR MAURICIO CARDOSO,TECMAR,RS,9,INTERIOR
INHANCORA,TECMAR,RS,9,INTERIOR
LAJEADO DO BUGRE,TECMAR,RS,9,INTERIOR
NOVO BARREIRO,TECMAR,RS,9,INTERIOR
NOVO MACHADO,TECMAR,RS,9,INTERIOR
PINHEIRO DO VALE,TECMAR,RS,9,INTERIOR
SAO JOSE DAS MISSOES,TECMAR,RS,9,INTERIOR
SAO JOSE DO INHACORA,TECMAR,RS,9,INTERIOR
SAO VALERIO DO SUL,TECMAR,RS,9,INTERIOR
TIRADENTES DO SUL,TECMAR,RS,9,INTERIOR
PARAISO DO SUL,TECMAR,RS,9,INTERIOR
SILVEIRA MARTINS,TECMAR,RS,9,INTERIOR
GRAMADO XAVIER,TECMAR,RS,9,INTERIOR
SERAFIM SCHMIDT,TECMAR,RS,9,INTERIOR
VESPAZIANO CORREA,TECMAR,RS,9,INTERIOR
BURITI,TECMAR,RS,9,INTERIOR
CAROVI,TECMAR,RS,9,INTERIOR
COIMBRA,TECMAR,RS,9,INTERIOR
TUPANTUBA,TECMAR,RS,9,INTERIOR
LIBERATO SALZANO,TECMAR,RS,9,INTERIOR
SAO LOURENCO DAS MISSOES,TECMAR,RS,9,INTERIOR
SAO JOAO BATISTA,TECMAR,RS,9,INTERIOR
VITORIA DAS MISSOES,TECMAR,RS,9,INTERIOR
FORQUETA,TECMAR,RS,9,INTERIOR
SINIMBU,TECMAR,RS,9,INTERIOR
PINHAL GRANDE,TECMAR,RS,9,INTERIOR
SAO JOAO DO POLINESE,TECMAR,RS,9,INTERIOR
SAO BERNARDO,TECMAR,RS,9,INTERIOR
SAO PEDRO DA SERRA,TECMAR,RS,9,INTERIOR
SAO JOAO DA URTIGA,TECMAR,RS,9,INTERIOR
TUNAS,TECMAR,RS,9,INTERIOR
ERNESTINA,TECMAR,RS,9,INTERIOR
CASEIROS,TECMAR,RS,9,INTERIOR
CAMPO DO MEIO,TECMAR,RS,9,INTERIOR
MORRINHOS DO SUL,TECMAR,RS,9,INTERIOR
MAURICIO CARDOSO,TECMAR,RS,9,INTERIOR
SAO VIRGILIO,TECMAR,RS,9,INTERIOR
PICADA CAFE,TECMAR,RS,9,INTERIOR
MORRO REUTER,TECMAR,RS,9,INTERIOR
POLO PETROQUIMICO,TECMAR,RS,9,INTERIOR
MINAS DO LEAO,TECMAR,RS,9,INTERIOR
BENJAMIN CONSTANT,TECMAR,RS,9,INTERIOR
BARRA DO QUARAI,TECMAR,RS,9,INTERIOR
AZEVEDO SODRE,TECMAR,RS,9,INTERIOR
TORQUATO SEVERO,TECMAR,RS,9,INTERIOR
ITAARA,TECMAR,RS,9,INTERIOR
DILERMANDO DE AGUIAR,TECMAR,RS,9,INTERIOR
PALMEIRA DAS MISSOES,TECMAR,RS,9,INTERIOR
CAMPESTRE DA SERRA,TECMAR,RS,9,INTERIOR
TUPANDI,TECMAR,RS,9,INTERIOR
MONTE BELO DO SUL,TECMAR,RS,9,INTERIOR
CERRITO,TECMAR,RS,9,INTERIOR
ARROIO DO SAL,TECMAR,RS,9,INTERIOR
IGUABA GRANDE,TECMAR,RS,9,INTERIOR
MAMPITUBA,TECMAR,RS,9,INTERIOR
GARIBALDINA,TECMAR,RS,9,INTERIOR
XANURIZA,TECMAR,RS,9,INTERIOR
PASSO DO SOBRADO,TECMAR,RS,9,INTERIOR
SAO JOSE DAS CANOAS,TECMAR,RS,9,INTERIOR
TUCURU,TECMAR,RS,9,INTERIOR
MORMACO,TECMAR,RS,9,INTERIOR
MAXIMILIANO DE ALMEIDA,TECMAR,RS,9,INTERIOR
TROMBUDO,TECMAR,RS,9,INTERIOR
IBIRAMA,TECMAR,RS,9,INTERIOR
SANTA CLARA,TECMAR,RS,9,INTERIOR
SANTO ANTONIO DO PLANALTO,TECMAR,RS,9,INTERIOR
SAO MARTINHO DA SERRA,TECMAR,RS,9,INTERIOR
NOVA ARCA,TECMAR,RS,9,INTERIOR
COXILHA,TECMAR,RS,9,INTERIOR
VILA BLOCK,TECMAR,RS,9,INTERIOR
CHUVISCA,TECMAR,RS,9,INTERIOR
MINAS DE CAMAQUA,TECMAR,RS,9,INTERIOR
VASCONCELOS,TECMAR,RS,9,INTERIOR
BALNEARIO PINHAL,TECMAR,RS,9,INTERIOR
COQUEIROS DO SUL,TECMAR,RS,9,INTERIOR
CRISTAL DO SUL,TECMAR,RS,9,INTERIOR
LAGOA DOS TRES CANTOS,TECMAR,RS,9,INTERIOR
LAURO SALZANO,TECMAR,RS,9,INTERIOR
MATO CASTELHANO,TECMAR,RS,9,INTERIOR
NICOLAU VERGUEIRO,TECMAR,RS,9,INTERIOR
SAO VALENTIN DO SUL,TECMAR,RS,9,INTERIOR
SANHACU,TECMAR,RS,9,INTERIOR
VILA TIO HUGO,TECMAR,RS,9,INTERIOR
QUEVEDOS,TECMAR,RS,9,INTERIOR
TOROPI,TECMAR,RS,9,INTERIOR
MARATA,TECMAR,RS,9,INTERIOR
BOA VISTA DO SUL,TECMAR,RS,9,INTERIOR
MARQUES DE SOUZA,TECMAR,RS,9,INTERIOR
CHARRUA,TECMAR,RS,9,INTERIOR
NOVO CABRAIS,TECMAR,RS,9,INTERIOR
ARROIO DOS SANTOS,TECMAR,RS,9,INTERIOR
NOVA CANDELARIA,TECMAR,RS,9,INTERIOR
DOUTOR MAURICIO CARDOSO,TECMAR,RS,9,INTERIOR
CERRO GRANDE DO SUL,TECMAR,RS,9,INTERIOR
TURUCU,TECMAR,RS,9,INTERIOR
BOM PRINCIPIO,TECMAR,RS,9,INTERIOR
PINHAL DA SERRA,TECMAR,RS,9,INTERIOR
BARRA QUARAI,TECMAR,RS,9,INTERIOR
NONOIA,TECMAR,RS,9,INTERIOR
MONOAI,TECMAR,RS,9,INTERIOR
NAO ME TOQUE,TECMAR,RS,9,INTERIOR
DOIS LAJEADOS,TECMAR,RS,9,INTERIOR
PINTO BANDEIRA,TECMAR,RS,9,INTERIOR
MATO QUEIMADO,TECMAR,RS,9,INTERIOR
ALVORADA DO SUL,TECMAR,RS,9,INTERIOR
CUIABA,TECMAR,RS,9,INTERIOR
SAPUCAIA,TECMAR,RS,9,INTERIOR
NONOAI,TECMAR,RS,9,INTERIOR
POLO PETROQUIMICO DE CAMA,TECMAR,RS,9,INTERIOR
SAO VALENTIM,TECMAR,RS,9,INTERIOR
RIO GRANDE DO SUL,TECMAR,RS,9,INTERIOR
MULITERNO,TECMAR,RS,9,INTERIOR
OLOPOLIS,TECMAR,RS,9,INTERIOR
SANTA MARIA,TECMAR,RS,9,INTERIOR
DOUTOR RICARDO,TECMAR,RS,9,INTERIOR
ANTONIO REIS,TECMAR,RS,9,INTERIOR
SENADOR SALGADO FILHO,TECMAR,RS,9,INTERIOR
HAMBURGO VELHO,TECMAR,RS,9,INTERIOR
MONTE ALEGRE DOS CAMPOS,TECMAR,RS,9,INTERIOR
TRAVESSEIRO,TECMAR,RS,9,INTERIOR
ARARICA,TECMAR,RS,9,INTERIOR
BOA VISTA DO CADEADO,TECMAR,RS,9,INTERIOR
ITAPUCA,TECMAR,RS,9,INTERIOR
MUITOS CAPOES,TECMAR,RS,9,INTERIOR
SAO JOSE DOS AUSENTES,TECMAR,RS,9,INTERIOR
UNIAO DA SERRA,TECMAR,RS,9,INTERIOR
BARRA DO GUARITA,TECMAR,RS,9,INTERIOR
BENJAMIN CONSTANT DO SUL,TECMAR,RS,9,INTERIOR
CANDIDO GODOI,TECMAR,RS,9,INTERIOR
ESPERANCA DO SUL,TECMAR,RS,9,INTERIOR
FLORIANO PEIXOTO,TECMAR,RS,9,INTERIOR
GENTIL,TECMAR,RS,9,INTERIOR
GRAMADO DOS LOUREIROS,TECMAR,RS,9,INTERIOR
INHACORA,TECMAR,RS,9,INTERIOR
NOVA RAMADA,TECMAR,RS,9,INTERIOR
PINHEIRINHO DO VALE,TECMAR,RS,9,INTERIOR
PONTAO,TECMAR,RS,9,INTERIOR
SANTO ANTONIO DO PALMA,TECMAR,RS,9,INTERIOR
SANTO EXPEDITO DO SUL,TECMAR,RS,9,INTERIOR
SETE DE SETEMBRO,TECMAR,RS,9,INTERIOR
TUPANCI DO SUL,TECMAR,RS,9,INTERIOR
UBIRETAMA,TECMAR,RS,9,INTERIOR
VILA LANGARO,TECMAR,RS,9,INTERIOR
GARRUCHOS,TECMAR,RS,9,INTERIOR
HELVAL,TECMAR,RS,9,INTERIOR
ALTO FELIZ,TECMAR,RS,9,INTERIOR
BROCHIER,TECMAR,RS,9,INTERIOR
CARAA,TECMAR,RS,9,INTERIOR
DOM PEDRO DE ALCANTARA,TECMAR,RS,9,INTERIOR
LINDOLFO COLLOR,TECMAR,RS,9,INTERIOR
LINHA NOVA,TECMAR,RS,9,INTERIOR
PARECI NOVO,TECMAR,RS,9,INTERIOR
PRESIDENTE LUCENA,TECMAR,RS,9,INTERIOR
VALE VERDE,TECMAR,RS,9,INTERIOR
FAZENDA VILANOVA,TECMAR,RS,9,INTERIOR
HERVEIRAS,TECMAR,RS,9,INTERIOR
JARI,TECMAR,RS,9,INTERIOR
PASSA SETE,TECMAR,RS,9,INTERIOR
SAO JOAO DO POLESINE,TECMAR,RS,9,INTERIOR
SERIO,TECMAR,RS,9,INTERIOR
TABAI,TECMAR,RS,9,INTERIOR
UNISTALDA,TECMAR,RS,9,INTERIOR
VESPASIANO CORREA,TECMAR,RS,9,INTERIOR
CANHEMBORA,TECMAR,RS,9,INTERIOR
QUINTA,TECMAR,RS,9,INTERIOR
ITAPUA,TECMAR,RS,9,INTERIOR
QUATRO IRMAOS,TECMAR,RS,9,INTERIOR
MARIANTE,TECMAR,RS,9,INTERIOR
CRUZALTENSE,TECMAR,RS,9,INTERIOR
ITATI,TECMAR,RS,9,INTERIOR
SANTA MARGARIDA DO SUL,TECMAR,RS,9,INTERIOR
SAO LUIS GONZAGA,TECMAR,RS,9,INTERIOR
BOCA DO MONTE,TECMAR,RS,9,INTERIOR
PAULO BENTO,TECMAR,RS,9,INTERIOR
CURUMIM,TECMAR,RS,9,INTERIOR
CORONEL BILAÇO,TECMAR,RS,9,INTERIOR
MARIAPOLIS,TECMAR,RS,9,INTERIOR
SAO PADRO DO SUL,TECMAR,RS,9,INTERIOR
SANTA CECILIA DO SUL,TECMAR,RS,9,INTERIOR
BOA VISTA DO INCRA,TECMAR,RS,9,INTERIOR
CAPAO DO CIPO,TECMAR,RS,9,INTERIOR
FORQUETINHA,TECMAR,RS,9,INTERIOR
CANUDOS DO VALE,TECMAR,RS,9,INTERIOR
COQUEIRO BAIXO,TECMAR,RS,9,INTERIOR
ALMIRANTE TAMANDARE DO SU,TECMAR,RS,9,INTERIOR
BOZANO,TECMAR,RS,9,INTERIOR
SANTA TEREZA,TECMAR,RS,9,INTERIOR
SAO LOURENCO,TECMAR,RS,9,INTERIOR
NOVA BOA VISTA,TECMAR,RS,9,INTERIOR
FAZENDA VILA NOVA,TECMAR,RS,9,INTERIOR
FREDERICO WESTPHALEN,TECMAR,RS,9,INTERIOR
JOACABA,TECMAR,SC,8,INTERIOR
CHAPECO,TECMAR,SC,8,INTERIOR
JOINVILLE,TECMAR,SC,8,INTERIOR
BLUMENAU,TECMAR,SC,8,INTERIOR
SAO JOSE,TECMAR,SC,6,CAPITAL 
CRICIUMA,TECMAR,SC,8,INTERIOR
CACADOR,TECMAR,SC,8,INTERIOR
CONCORDIA,TECMAR,SC,8,INTERIOR
CURITIBANOS,TECMAR,SC,8,INTERIOR
LAGES,TECMAR,SC,8,INTERIOR
RIO DO SUL,TECMAR,SC,8,INTERIOR
SAO MIGUEL DO OESTE,TECMAR,SC,8,INTERIOR
XANXERE,TECMAR,SC,8,INTERIOR
ITAJAI,TECMAR,SC,8,INTERIOR
TUBARAO,TECMAR,SC,8,INTERIOR
APIUNA,TECMAR,SC,8,INTERIOR
ASCURRA,TECMAR,SC,8,INTERIOR
BENEDITO NOVO,TECMAR,SC,8,INTERIOR
BOTUVERA,TECMAR,SC,8,INTERIOR
BRUSQUE,TECMAR,SC,8,INTERIOR
CORUPA,TECMAR,SC,8,INTERIOR
DOUTOR PEDRINHO,TECMAR,SC,8,INTERIOR
GASPAR,TECMAR,SC,8,INTERIOR
GUABIRUBA,TECMAR,SC,8,INTERIOR
GUARAMIRIM,TECMAR,SC,8,INTERIOR
INDAIAL,TECMAR,SC,8,INTERIOR
JARAGUA DO SUL,TECMAR,SC,8,INTERIOR
LUIZ ALVES,TECMAR,SC,8,INTERIOR
MASSARANDUBA,TECMAR,SC,8,INTERIOR
MONTE CASTELO,TECMAR,SC,8,INTERIOR
POMERODE,TECMAR,SC,8,INTERIOR
RIO DOS CEDROS,TECMAR,SC,8,INTERIOR
RODEIO,TECMAR,SC,8,INTERIOR
SAO JOAO DO ITAPIRIU,TECMAR,SC,8,INTERIOR
TIMBO,TECMAR,SC,8,INTERIOR
TONAPOLIS,TECMAR,SC,8,INTERIOR
CALMON,TECMAR,SC,8,INTERIOR
LEBON REGIS,TECMAR,SC,8,INTERIOR
MATOS COSTAS,TECMAR,SC,8,INTERIOR
RIO DAS ANTAS,TECMAR,SC,8,INTERIOR
AGUAS DE CHAPECO,TECMAR,SC,8,INTERIOR
AGUAS FRIAS,TECMAR,SC,8,INTERIOR
CAIBI,TECMAR,SC,8,INTERIOR
CAXAMBU DO SUL,TECMAR,SC,8,INTERIOR
CORDILHEIRA ALTA,TECMAR,SC,8,INTERIOR
CORONEL FREITAS,TECMAR,SC,8,INTERIOR
CUNHA PORA,TECMAR,SC,8,INTERIOR
FORMOSA DO SUL,TECMAR,SC,8,INTERIOR
GUATAMBU,TECMAR,SC,8,INTERIOR
IRATI,TECMAR,SC,8,INTERIOR
JARDINOPOLIS,TECMAR,SC,8,INTERIOR
MARAVILHA,TECMAR,SC,8,INTERIOR
MODELO,TECMAR,SC,8,INTERIOR
MONDAI,TECMAR,SC,8,INTERIOR
NOVA ERECHIM,TECMAR,SC,8,INTERIOR
NOVA ITABERABA,TECMAR,SC,8,INTERIOR
PALMITOS,TECMAR,SC,8,INTERIOR
PINHALZINHO,TECMAR,SC,8,INTERIOR
PLANALTO ALEGRE,TECMAR,SC,8,INTERIOR
QUILOMBO,TECMAR,SC,8,INTERIOR
RIQUEZA,TECMAR,SC,8,INTERIOR
SAO CARLOS,TECMAR,SC,8,INTERIOR
SAUDADES,TECMAR,SC,8,INTERIOR
SERRA ALTA,TECMAR,SC,8,INTERIOR
SUL BRASIL,TECMAR,SC,8,INTERIOR
UNIAO DO OESTE,TECMAR,SC,8,INTERIOR
ARABUTA,TECMAR,SC,8,INTERIOR
ARVOREDO,TECMAR,SC,8,INTERIOR
IPUMIRIM,TECMAR,SC,8,INTERIOR
ITA,TECMAR,SC,8,INTERIOR
LINDOIA DO SUL,TECMAR,SC,8,INTERIOR
PALMEIRA,TECMAR,SC,8,INTERIOR
PERITIBA,TECMAR,SC,8,INTERIOR
SEARA,TECMAR,SC,8,INTERIOR
XAVANTINA,TECMAR,SC,8,INTERIOR
ARARANGUA,TECMAR,SC,8,INTERIOR
BRACO DO NORTE,TECMAR,SC,8,INTERIOR
COCAL DO SUL,TECMAR,SC,8,INTERIOR
FORQUILHINHA,TECMAR,SC,8,INTERIOR
GRAO PARA,TECMAR,SC,8,INTERIOR
ICARA,TECMAR,SC,8,INTERIOR
JACINTO MACHADO,TECMAR,SC,8,INTERIOR
LAURO MULLER,TECMAR,SC,8,INTERIOR
MARACAJA,TECMAR,SC,8,INTERIOR
MELEIRO,TECMAR,SC,8,INTERIOR
MORRO DA FUMACA,TECMAR,SC,8,INTERIOR
MORRO GRANDE,TECMAR,SC,8,INTERIOR
NOVA VENEZA,TECMAR,SC,8,INTERIOR
ORLEANS,TECMAR,SC,8,INTERIOR
PASSO DE TORRES,TECMAR,SC,8,INTERIOR
RINCAO,TECMAR,SC,8,INTERIOR
PRAIA GRANDE,TECMAR,SC,8,INTERIOR
SANGAO,TECMAR,SC,8,INTERIOR
SANTA ROSA DO SUL,TECMAR,SC,8,INTERIOR
SAO JOAO DO SUL,TECMAR,SC,8,INTERIOR
SAO LUDGERO,TECMAR,SC,8,INTERIOR
SIDEROPOLIS,TECMAR,SC,8,INTERIOR
SOMBRIO,TECMAR,SC,8,INTERIOR
TIMBE DO SUL,TECMAR,SC,8,INTERIOR
TREVISO,TECMAR,SC,8,INTERIOR
TURVO,TECMAR,SC,8,INTERIOR
URUSSANGA,TECMAR,SC,8,INTERIOR
VILA NOVA,TECMAR,SC,8,INTERIOR
PONTE ALTA DO NORTE,TECMAR,SC,8,INTERIOR
SANTA CECILIA,TECMAR,SC,8,INTERIOR
SAO CRISTOVAO DO SUL,TECMAR,SC,8,INTERIOR
TIMBO GRANDE,TECMAR,SC,8,INTERIOR
AGUAS MORNAS,TECMAR,SC,8,INTERIOR
ANGELINA,TECMAR,SC,8,INTERIOR
ANITAPOLIS,TECMAR,SC,8,INTERIOR
ANTONIO CARLOS,TECMAR,SC,8,INTERIOR
BIGUACU,TECMAR,SC,6,CAPITAL 
CANELINHA,TECMAR,SC,8,INTERIOR
FLORIANOPOLIS,TECMAR,SC,6,CAPITAL 
GOVERNADOR CELSO RAMOS,TECMAR,SC,8,INTERIOR
MAJOR GERCINO,TECMAR,SC,8,INTERIOR
NOVA TRENTO,TECMAR,SC,8,INTERIOR
PALHOCA,TECMAR,SC,6,CAPITAL 
PAULO LOPES,TECMAR,SC,8,INTERIOR
RANCHO QUEIMADO,TECMAR,SC,8,INTERIOR
SAO BONIFACIO,TECMAR,SC,8,INTERIOR
SAO JOAO BATISTA,TECMAR,SC,8,INTERIOR
SAO PEDRO ALCANTARA,TECMAR,SC,8,INTERIOR
SANTO AMARO DA IMPERATRIZ,TECMAR,SC,8,INTERIOR
TIJUCAS,TECMAR,SC,8,INTERIOR
DIONISIO CERQUEIRA,TECMAR,SC,8,INTERIOR
PALMA SOLA,TECMAR,SC,8,INTERIOR
BALNEARIO CAMBORIU,TECMAR,SC,8,INTERIOR
BARRA VELHA,TECMAR,SC,8,INTERIOR
BOMBINHAS,TECMAR,SC,8,INTERIOR
CAMBORIU,TECMAR,SC,8,INTERIOR
ILHOTA,TECMAR,SC,8,INTERIOR
ITAPEMA,TECMAR,SC,8,INTERIOR
NAVEGANTES,TECMAR,SC,8,INTERIOR
PENHA,TECMAR,SC,8,INTERIOR
PICARRAS,TECMAR,SC,8,INTERIOR
PORTO BELO,TECMAR,SC,8,INTERIOR
ABDON BATISTA,TECMAR,SC,8,INTERIOR
AGUA DOCE,TECMAR,SC,8,INTERIOR
ARROIO TRINTA,TECMAR,SC,8,INTERIOR
CAMPOS NOVOS,TECMAR,SC,8,INTERIOR
CAPINZAL,TECMAR,SC,8,INTERIOR
CATANDUVAS,TECMAR,SC,8,INTERIOR
ERVAL VELHO,TECMAR,SC,8,INTERIOR
FRAIBURGO,TECMAR,SC,8,INTERIOR
HERVAL DO OESTE,TECMAR,SC,8,INTERIOR
IBICARE,TECMAR,SC,8,INTERIOR
IOMERE,TECMAR,SC,8,INTERIOR
IPIRA,TECMAR,SC,8,INTERIOR
IRANI,TECMAR,SC,8,INTERIOR
JABORA,TECMAR,SC,8,INTERIOR
LACERDOPOLIS,TECMAR,SC,8,INTERIOR
LUZERNA,TECMAR,SC,8,INTERIOR
MACIEIRA,TECMAR,SC,8,INTERIOR
MONTE CARLO,TECMAR,SC,8,INTERIOR
OURO,TECMAR,SC,8,INTERIOR
PINHEIRO PRETO,TECMAR,SC,8,INTERIOR
PIRATUBA,TECMAR,SC,8,INTERIOR
PRESIDENTE CASTELO BRANCO,TECMAR,SC,8,INTERIOR
SALTO VELOSO,TECMAR,SC,8,INTERIOR
TANGARA,TECMAR,SC,8,INTERIOR
TREZE TILIAS,TECMAR,SC,8,INTERIOR
VARGEM BONITA,TECMAR,SC,8,INTERIOR
VARGEM,TECMAR,SC,8,INTERIOR
VIDEIRA,TECMAR,SC,8,INTERIOR
ARAQUARI,TECMAR,SC,8,INTERIOR
CAMPO ALEGRE,TECMAR,SC,8,INTERIOR
GARUVA,TECMAR,SC,8,INTERIOR
ITAPOA,TECMAR,SC,8,INTERIOR
RIO NEGRINHO,TECMAR,SC,8,INTERIOR
SAO BENTO DO SUL,TECMAR,SC,8,INTERIOR
SAO FRANCISCO DO SUL,TECMAR,SC,8,INTERIOR
ALFREDO WAGNER,TECMAR,SC,8,INTERIOR
ANITA GARIBALDI,TECMAR,SC,8,INTERIOR
BOM JARDIM DA SERRA,TECMAR,SC,8,INTERIOR
BOM RETIRO,TECMAR,SC,8,INTERIOR
CAMPO BELO DO SUL,TECMAR,SC,8,INTERIOR
CELSO RAMOS,TECMAR,SC,8,INTERIOR
CERRO NEGRO,TECMAR,SC,8,INTERIOR
CORREIA PINTO,TECMAR,SC,8,INTERIOR
OTACILIO COSTA,TECMAR,SC,8,INTERIOR
PONTE ALTA,TECMAR,SC,8,INTERIOR
RIO RUFINO,TECMAR,SC,8,INTERIOR
SAO JOAQUIM,TECMAR,SC,8,INTERIOR
SAO JOSE DO CERRITO,TECMAR,SC,8,INTERIOR
URUBICI,TECMAR,SC,8,INTERIOR
URUPEMA,TECMAR,SC,8,INTERIOR
MARCILIO DIAS,TECMAR,SC,8,INTERIOR
CAMPO ERE,TECMAR,SC,8,INTERIOR
NOVO HORIZONTE,TECMAR,SC,8,INTERIOR
SAO LOURENCO DO OESTE,TECMAR,SC,8,INTERIOR
AGROLANDIA,TECMAR,SC,8,INTERIOR
AGRONOMICA,TECMAR,SC,8,INTERIOR
ATALANTA,TECMAR,SC,8,INTERIOR
ATERRADO TORTO,TECMAR,SC,8,INTERIOR
AURORA,TECMAR,SC,8,INTERIOR
BRACO DO TROMBUDO,TECMAR,SC,8,INTERIOR
DONA EMMA,TECMAR,SC,8,INTERIOR
IBIRAMA,TECMAR,SC,8,INTERIOR
IMBUIA,TECMAR,SC,8,INTERIOR
ITUPORANGA,TECMAR,SC,8,INTERIOR
JOSE BOITEUX,TECMAR,SC,8,INTERIOR
LAURENTINO,TECMAR,SC,8,INTERIOR
LEOBERTO LEAL,TECMAR,SC,8,INTERIOR
LONTRAS,TECMAR,SC,8,INTERIOR
MIRIN DOCE,TECMAR,SC,8,INTERIOR
PETROLANDIA,TECMAR,SC,8,INTERIOR
POUSO REDONDO,TECMAR,SC,8,INTERIOR
PRESIDENTE NEREU,TECMAR,SC,8,INTERIOR
PRESIDENTE GETULIO,TECMAR,SC,8,INTERIOR
RIO DO CAMPO,TECMAR,SC,8,INTERIOR
RIO DO OESTE,TECMAR,SC,8,INTERIOR
SALETE,TECMAR,SC,8,INTERIOR
SANTA TEREZINHA,TECMAR,SC,8,INTERIOR
TAIO,TECMAR,SC,8,INTERIOR
TROMBUDO CENTRAL,TECMAR,SC,8,INTERIOR
VIDAL RAMOS,TECMAR,SC,8,INTERIOR
VITOR MEIRELES,TECMAR,SC,8,INTERIOR
WITMARSUM,TECMAR,SC,8,INTERIOR
ANCHIETA,TECMAR,SC,8,INTERIOR
BELMONTE,TECMAR,SC,8,INTERIOR
DESCANSO,TECMAR,SC,8,INTERIOR
GUARACIABA,TECMAR,SC,8,INTERIOR
GUARUJA DO SUL,TECMAR,SC,8,INTERIOR
IPORA DO OESTE,TECMAR,SC,8,INTERIOR
IRACEMINHA,TECMAR,SC,8,INTERIOR
ITAPIRANGA,TECMAR,SC,8,INTERIOR
PARAISO,TECMAR,SC,8,INTERIOR
ROMELANDIA,TECMAR,SC,8,INTERIOR
SAO JOAO DO OESTE,TECMAR,SC,8,INTERIOR
SAO JOAO,TECMAR,SC,8,INTERIOR
SAO JOSE DO CEDRO,TECMAR,SC,8,INTERIOR
SAO MIGUEL DA BOA VISTA,TECMAR,SC,8,INTERIOR
TUNAPOLIS,TECMAR,SC,8,INTERIOR
ABELARDO LUZ,TECMAR,SC,8,INTERIOR
CORONEL MARTINS,TECMAR,SC,8,INTERIOR
FAXINAL DOS GUEDES,TECMAR,SC,8,INTERIOR
GALVAO,TECMAR,SC,8,INTERIOR
IPUACU,TECMAR,SC,8,INTERIOR
LAGEADO GRANDE,TECMAR,SC,8,INTERIOR
MAREMA,TECMAR,SC,8,INTERIOR
OURO VERDE,TECMAR,SC,8,INTERIOR
PASSOS MAIA,TECMAR,SC,8,INTERIOR
PONTE SERRADA,TECMAR,SC,8,INTERIOR
SAO DOMINGOS,TECMAR,SC,8,INTERIOR
VARGEAO,TECMAR,SC,8,INTERIOR
XAXIM,TECMAR,SC,8,INTERIOR
IRINEOPOLIS,TECMAR,SC,8,INTERIOR
PORTO UNIAO,TECMAR,SC,8,INTERIOR
ENTRE RIOS,TECMAR,SC,8,INTERIOR
CANOINHAS,TECMAR,SC,8,INTERIOR
ITAIOPOLIS,TECMAR,SC,8,INTERIOR
MAFRA,TECMAR,SC,8,INTERIOR
MAJOR VIEIRA,TECMAR,SC,8,INTERIOR
TRES BARRAS,TECMAR,SC,8,INTERIOR
SAO MARTINHO,TECMAR,SC,8,INTERIOR
SANTA ROSA DE LIMA,TECMAR,SC,8,INTERIOR
GRAVATAL,TECMAR,SC,8,INTERIOR
JAGUARUNA,TECMAR,SC,8,INTERIOR
TREZE DE MAIO,TECMAR,SC,8,INTERIOR
PEDRAS GRANDES,TECMAR,SC,8,INTERIOR
ARMAZEM,TECMAR,SC,8,INTERIOR
LAGUNA,TECMAR,SC,8,INTERIOR
RIO FORTUNA,TECMAR,SC,8,INTERIOR
IMBITUBA,TECMAR,SC,8,INTERIOR
GAROPABA,TECMAR,SC,8,INTERIOR
IMARUI,TECMAR,SC,8,INTERIOR
PLANALTO SC,TECMAR,SC,8,INTERIOR
CAPIVARI DE BAIXO,TECMAR,SC,8,INTERIOR
MARCILIO DIAS,TECMAR,SC,8,INTERIOR
SAO SEBASTIAO DO SUL,TECMAR,SC,8,INTERIOR
BELA VISTA DO TOLDO,TECMAR,SC,8,INTERIOR
JARDINOPOLIS,TECMAR,SC,8,INTERIOR
ERMO,TECMAR,SC,8,INTERIOR
BOCAINA DO SUL,TECMAR,SC,8,INTERIOR
CAPAO ALTO,TECMAR,SC,8,INTERIOR
ALTO BELA VISTA,TECMAR,SC,8,INTERIOR
