Cidade,Transportadora,Prazo,Capital/Interior
IRAPUA,RODONAVES,SP,7,INTERIOR
ITAJOBI,RODONAVES,SP,4,INTERIOR
MARAPOAMA,RODONAVES,SP,4,INTERIOR
NOVAIS,RODONAVES,SP,7,INTERIOR
PALMARES PAULISTA,RODONAVES,SP,7,INTERIOR
PARAISO,RODONAVES,SP,7,INTERIOR
PINDORAMA,RODONAVES,SP,4,INTERIOR
SALES,RODONAVES,SP,7,INTERIOR
SANTA ADELIA,RODONAVES,SP,4,INTERIOR
TABAPUA,RODONAVES,SP,7,INTERIOR
URUPES,RODONAVES,SP,4,INTERIOR
ALPINOPOLIS,RODONAVES,MG,6,INTERIOR
ALTEROSA,RODONAVES,MG,4,INTERIOR
AREADO,RODONAVES,MG,5,INTERIOR
CARMO DO RIO CLARO,RODONAVES,MG,4,INTERIOR
CONCEICAO DA APARECIDA,RODONAVES,MG,4,INTERIOR
CIANORTE,RODONAVES,PR,5,INTERIOR
CIDADE GAUCHA,RODONAVES,PR,7,INTERIOR
GUAPOREMA,RODONAVES,PR,7,INTERIOR
INDIANOPOLIS,RODONAVES,PR,7,INTERIOR
JAPURA,RODONAVES,PR,7,INTERIOR
JUSSARA,RODONAVES,PR,9,INTERIOR
RONDON,RODONAVES,PR,7,INTERIOR
SAO MANOEL DO PARANA,RODONAVES,PR,9,INTERIOR
SAO TOME,RODONAVES,PR,7,INTERIOR
TAPEJARA,RODONAVES,PR,6,INTERIOR
TAPIRA,RODONAVES,PR,7,INTERIOR
TERRA BOA,RODONAVES,PR,6,INTERIOR
TUNEIRAS DO OESTE,RODONAVES,PR,9,INTERIOR
BELO VALE,RODONAVES,MG,17,INTERIOR
CARANAIBA,RODONAVES,MG,17,INTERIOR
CARANDAI,RODONAVES,MG,11,INTERIOR
CASA GRANDE,RODONAVES,MG,17,INTERIOR
CATAS ALTAS DA NORUEGA,RODONAVES,MG,17,INTERIOR
CONGONHAS,RODONAVES,MG,8,INTERIOR
CONSELHEIRO LAFAIETE,RODONAVES,MG,7,INTERIOR
CRISTIANO OTONI,RODONAVES,MG,11,INTERIOR
DESTERRO DE ENTRE RIOS,RODONAVES,MG,17,INTERIOR
ENTRE RIOS DE MINAS,RODONAVES,MG,11,INTERIOR
ITAVERAVA,RODONAVES,MG,17,INTERIOR
JECEABA,RODONAVES,MG,11,INTERIOR
LAMIM,RODONAVES,MG,17,INTERIOR
MARIANA,RODONAVES,MG,7,INTERIOR
OURO BRANCO,RODONAVES,MG,8,INTERIOR
OURO PRETO,RODONAVES,MG,7,INTERIOR
QUELUZITO,RODONAVES,MG,15,INTERIOR
RIO ESPERA,RODONAVES,MG,17,INTERIOR
SANTANA DOS MONTES,RODONAVES,MG,17,INTERIOR
SAO BRAS DO SUACUI,RODONAVES,MG,11,INTERIOR
SENHORA DE OLIVEIRA,RODONAVES,MG,17,INTERIOR
AIURUOCA,RODONAVES,MG,15,INTERIOR
ALAGOA,RODONAVES,MG,15,INTERIOR
BAEPENDI,RODONAVES,MG,5,INTERIOR
BOCAINA DE MINAS,RODONAVES,MG,15,INTERIOR
CARMO DE MINAS,RODONAVES,MG,7,INTERIOR
CARVALHOS,RODONAVES,MG,15,INTERIOR
CAXAMBU,RODONAVES,MG,5,INTERIOR
CONCEICAO DO RIO VERDE,RODONAVES,MG,7,INTERIOR
CRUZILIA,RODONAVES,MG,6,INTERIOR
DOM VICOSO,RODONAVES,MG,19,INTERIOR
ITAMONTE,RODONAVES,MG,5,INTERIOR
ITANHANDU,RODONAVES,MG,5,INTERIOR
LIBERDADE,RODONAVES,MG,15,INTERIOR
MINDURI,RODONAVES,MG,9,INTERIOR
PASSA QUATRO,RODONAVES,MG,6,INTERIOR
PASSA VINTE,RODONAVES,MG,15,INTERIOR
POUSO ALTO,RODONAVES,MG,5,INTERIOR
SAO LOURENCO,RODONAVES,MG,5,INTERIOR
SAO SEBASTIAO DO RIO VERD,RODONAVES,MG,15,INTERIOR
SERITINGA,RODONAVES,MG,15,INTERIOR
SERRANOS,RODONAVES,MG,15,INTERIOR
SOLEDADE DE MINAS,RODONAVES,MG,7,INTERIOR
VIRGINIA,RODONAVES,MG,15,INTERIOR
CAJURU,RODONAVES,SP,4,INTERIOR
CASSIA DOS COQUEIROS,RODONAVES,SP,7,INTERIOR
CRAVINHOS,RODONAVES,SP,4,INTERIOR
LUIS ANTONIO,RODONAVES,SP,4,INTERIOR
SANTA CRUZ DA ESPERANCA,RODONAVES,SP,5,INTERIOR
SANTA ROSA DE VITERBO,RODONAVES,SP,4,INTERIOR
SAO SIMAO,RODONAVES,SP,4,INTERIOR
SERRA AZUL,RODONAVES,SP,7,INTERIOR
SERRANA,RODONAVES,SP,4,INTERIOR
BELO ORIENTE,RODONAVES,MG,11,INTERIOR
CORONEL FABRICIANO,RODONAVES,MG,8,INTERIOR
GUANHAES,RODONAVES,MG,12,INTERIOR
IPATINGA,RODONAVES,MG,8,INTERIOR
ITABIRA,RODONAVES,MG,9,INTERIOR
JOAO MONLEVADE,RODONAVES,MG,9,INTERIOR
SANTA BARBARA,RODONAVES,MG,12,INTERIOR
SANTANA DO PARAISO,RODONAVES,MG,11,INTERIOR
TIMOTEO,RODONAVES,MG,8,INTERIOR
