Cidade,Transportadora,Prazo
NOVA ITABERABA,RODONAVES,9
OURO VERDE,RODONAVES,9
PAIAL,RODONAVES,9
PALMITOS,RODONAVES,6
PASSOS MAIA,RODONAVES,9
PINHALZINHO,RODONAVES,5
PLANALTO ALEGRE,RODONAVES,9
PONTE SERRADA,RODONAVES,9
QUILOMBO,RODONAVES,9
RIQUEZA,RODONAVES,6
SALTINHO,RODONAVES,7
SANTIAGO DO SUL,RODONAVES,9
SAO CARLOS,RODONAVES,6
SAO DOMINGOS,RODONAVES,9
SAUDADES,RODONAVES,5
SERRA ALTA,RODONAVES,7
SUL BRASIL,RODONAVES,7
UNIAO DO OESTE,RODONAVES,9
VARGEAO,RODONAVES,9
XANXERE,RODONAVES,5
XAXIM,RODONAVES,5
BOITUVA,RODONAVES,4
CERQUILHO,RODONAVES,4
CESARIO LANGE,RODONAVES,5
CONCHAS,RODONAVES,4
GUAREI,RODONAVES,9
IPERO,RODONAVES,4
JUMIRIM,RODONAVES,4
LARANJAL PAULISTA,RODONAVES,4
MARISTELA,RODONAVES,5
PEREIRAS,RODONAVES,4
PORANGABA,RODONAVES,9
PORTO FELIZ,RODONAVES,4
QUADRA,RODONAVES,8
TATUI,RODONAVES,4
TIETE,RODONAVES,4
TORRE DE PEDRA,RODONAVES,9
BARROSO,RODONAVES,5
DORES DE CAMPOS,RODONAVES,5
PRADOS,RODONAVES,7
ARATIBA,RODONAVES,9
AUREA,RODONAVES,9
BARAO DE COTEGIPE,RODONAVES,6
BARRA DO RIO AZUL,RODONAVES,9
BENJAMIN CONSTANT DO SUL,RODONAVES,9
CAMPINAS DO SUL,RODONAVES,7
CARLOS GOMES,RODONAVES,9
CENTENARIO,RODONAVES,9
CRUZALTENSE,RODONAVES,9
ENTRE RIOS DO SUL,RODONAVES,9
EREBANGO,RODONAVES,9
ERECHIM,RODONAVES,5
ERVAL GRANDE,RODONAVES,9
ESTACAO,RODONAVES,6
FAXINALZINHO,RODONAVES,9
FLORIANO PEIXOTO,RODONAVES,9
GAURAMA,RODONAVES,9
GETULIO VARGAS,RODONAVES,6
IBIACA,RODONAVES,9
IPIRANGA DO SUL,RODONAVES,9
ITATIBA DO SUL,RODONAVES,9
JACUTINGA,RODONAVES,7
MARCELINO RAMOS,RODONAVES,9
MARIANO MORO,RODONAVES,9
PAULO BENTO,RODONAVES,7
PONTE PRETA,RODONAVES,9
QUATRO IRMAOS,RODONAVES,9
SAO VALENTIM,RODONAVES,9
SERTAO,RODONAVES,9
SEVERIANO DE ALMEIDA,RODONAVES,9
TRES ARROIOS,RODONAVES,9
VIADUTOS,RODONAVES,9
EXTREMA,RODONAVES,4
ITAPEVA,RODONAVES,4
JOANOPOLIS,RODONAVES,8
MUNHOZ,RODONAVES,14
TOLEDO,RODONAVES,14
VARGEM,RODONAVES,8
ALEXANDRITA,RODONAVES,9
APARECIDA D'OESTE,RODONAVES,7
ASPASIA,RODONAVES,9
AURIFLAMA,RODONAVES,5
BANDEIRANTES D'OESTE,RODONAVES,10
BRASITANIA,RODONAVES,9
CARNEIRINHO,RODONAVES,9
DIRCE REIS,RODONAVES,9
DOLCINOPOLIS,RODONAVES,9
ESTRELA D OESTE,RODONAVES,8
FERNANDOPOLIS,RODONAVES,4
GUARANI D'OESTE,RODONAVES,10
GUZOLANDIA,RODONAVES,6
ILHA SOLTEIRA,RODONAVES,5
INDIAPORA,RODONAVES,9
ITURAMA,RODONAVES,4
JALES,RODONAVES,4
LIMEIRA DO OESTE,RODONAVES,9
MACEDONIA,RODONAVES,9
MARINOPOLIS,RODONAVES,6
MERIDIANO,RODONAVES,9
MESOPOLIS,RODONAVES,9
MIRA ESTRELA,RODONAVES,9
NOVA CANAA PAULISTA,RODONAVES,9
OUROESTE,RODONAVES,5
PALMEIRA D'OESTE,RODONAVES,7
PARANAPUA,RODONAVES,9
PEDRANOPOLIS,RODONAVES,9
PEREIRA BARRETO,RODONAVES,5
PONTALINDA,RODONAVES,9
POPULINA,RODONAVES,9
RUBINEIA,RODONAVES,9
SANTA ALBERTINA,RODONAVES,9
SANTA CLARA D'OESTE,RODONAVES,10
SANTA FE DO SUL,RODONAVES,5
SANTA RITA D'OESTE,RODONAVES,10
SANTA SALETE,RODONAVES,9
SANTANA DA PONTE PENSA,RODONAVES,9
SAO FRANCISCO,RODONAVES,9
SAO JOAO DAS DUAS PONTES,RODONAVES,9
SUD MENNUCCI,RODONAVES,6
SUZANAPOLIS,RODONAVES,6
TRES FRONTEIRAS,RODONAVES,6
TURMALINA,RODONAVES,9
URANIA,RODONAVES,5
VITORIA BRASIL,RODONAVES,9
AGUAS MORNAS,RODONAVES,9
ANGELINA,RODONAVES,9
ANITAPOLIS,RODONAVES,9
ANTONIO CARLOS,RODONAVES,9
BIGUACU,RODONAVES,5
FLORIANOPOLIS,RODONAVES,5
GOVERNADOR CELSO RAMOS,RODONAVES,9
PALHOCA,RODONAVES,5
RANCHO QUEIMADO,RODONAVES,9
SANTO AMARO DA IMPERATRIZ,RODONAVES,7
SAO BONIFACIO,RODONAVES,9
SAO JOSE,RODONAVES,5
SAO PEDRO DE ALCANTARA,RODONAVES,9
ARCOS,RODONAVES,5
BAMBUI,RODONAVES,7
CAPITOLIO,RODONAVES,7
CORREGO FUNDO,RODONAVES,7
FORMIGA,RODONAVES,5
IGUATAMA,RODONAVES,7
ITAPECERICA,RODONAVES,9
LAGOA DA PRATA,RODONAVES,5
LUZ,RODONAVES,9
MOEMA,RODONAVES,9
PAINS,RODONAVES,7
PEDRA DO INDAIA,RODONAVES,7
PIMENTA,RODONAVES,5
PIUMHI,RODONAVES,5
SANTO ANTONIO DO MONTE,RODONAVES,7
SAO ROQUE DE MINAS,RODONAVES,9
VARGEM BONITA,RODONAVES,9
FOZ DO IGUACU,RODONAVES,7
SANTA TEREZINHA DE ITAIPU,RODONAVES,8
CRISTAIS PAULISTA,RODONAVES,7
FRANCA,RODONAVES,4
ITIRAPUA,RODONAVES,7
JERIQUARA,RODONAVES,7
PATROCINIO PAULISTA,RODONAVES,7
PEDREGULHO,RODONAVES,7
RESTINGA,RODONAVES,7
